modeling-graphiti
Total,598
field,recount,count
assignee,1,198
assignee,2,6
assignee,3,1
assignee,4,1
component,1,26
component,3,1
hardware,1,268
os,1,240
os,2,1
priority,1,89
priority,2,22
priority,3,7
priority,4,1
product,1,24
product,3,1
resolution,1,438
resolution,2,7
resolution,3,17
resolution,4,2
severity,1,55
severity,2,1
status,1,186
status,2,44
status,3,107
status,4,261
version,1,193
version,2,1
version,3,1

iot-californium
Total,66
field,recount,count
assignee,1,20
hardware,1,3
os,1,3
resolution,1,44
resolution,3,3
severity,1,4
status,1,21
status,2,13
status,3,12
status,4,2

tools-tmw
Total,0

technology-m2e
Total,1604
field,recount,count
assignee,1,304
assignee,2,25
assignee,3,3
assignee,4,1
component,1,81
component,2,8
component,3,2
hardware,1,51
os,1,62
os,2,2
priority,1,12
product,1,77
product,2,6
resolution,1,1377
resolution,2,24
resolution,3,64
resolution,4,10
severity,1,85
severity,2,4
status,1,1232
status,2,142
status,3,71
status,4,30
version,1,136
version,2,7

foundation-simultaneousrelease
Total,0

rt-vertx
Total,394
field,recount,count
assignee,1,47
assignee,2,1
component,1,1
hardware,1,1
os,1,1
resolution,1,324
resolution,2,3
resolution,3,13
resolution,4,1
severity,1,33
severity,2,2
severity,3,1
status,1,308
status,2,19
status,3,12
status,4,2
version,1,31
version,2,3

modeling-mdt.modisco
Total,984
field,recount,count
assignee,1,682
assignee,2,27
assignee,3,17
assignee,4,2
component,1,73
component,2,2
component,3,1
hardware,1,19
os,1,20
priority,1,381
priority,2,124
priority,3,21
priority,4,9
product,1,18
resolution,1,695
resolution,2,13
resolution,3,24
resolution,4,5
severity,1,110
severity,2,3
status,1,88
status,2,433
status,3,205
status,4,34
version,1,146
version,2,13

technology-actf
Total,1013
field,recount,count
assignee,1,98
assignee,2,6
assignee,3,2
component,1,73
component,2,4
hardware,1,2
os,1,4
priority,1,5
product,1,1
product,2,1
resolution,1,907
resolution,2,73
resolution,3,11
resolution,4,2
severity,1,22
severity,2,1
status,1,672
status,2,258
status,3,44
status,4,24
version,1,7
version,2,1

modeling-acceleo
Total,898
field,recount,count
assignee,1,21
assignee,2,2
component,1,17
component,2,1
hardware,1,4
os,1,4
priority,1,68
priority,2,8
product,1,10
product,2,1
resolution,1,802
resolution,2,12
resolution,3,18
severity,1,48
severity,2,3
status,1,547
status,2,265
status,3,18
status,4,10
version,1,37

mylyn-mylyndocsintent
Total,0

mylyn-mylynincubator
Total,0

foundation-community
Total,0

iot-vorto
Total,157
field,recount,count
assignee,1,38
assignee,2,1
assignee,3,2
component,1,36
hardware,1,1
os,1,2
priority,1,2
product,1,1
resolution,1,155
resolution,3,1
severity,1,12
severity,2,1
status,1,104
status,2,46
status,3,5
status,4,1
version,1,5
version,2,1

mylyn-mylyncommons
Total,0

modeling-sphinx
Total,463
field,recount,count
assignee,1,249
assignee,2,12
component,1,20
component,2,1
hardware,1,60
hardware,2,1
os,1,60
os,2,1
priority,1,32
product,1,1
resolution,1,363
resolution,2,5
resolution,3,13
severity,1,36
status,1,220
status,2,176
status,3,9
status,4,7
version,1,69
version,2,2

technology-rtsc
Total,1229
field,recount,count
assignee,1,511
assignee,2,120
assignee,3,23
assignee,4,3
component,1,49
hardware,1,119
os,1,130
priority,1,184
priority,2,16
priority,3,8
priority,4,3
product,1,1
resolution,1,810
resolution,2,17
resolution,3,32
resolution,4,5
severity,1,53
status,1,311
status,2,146
status,3,278
status,4,387
version,1,6

ecd-orion
Total,9557
field,recount,count
assignee,1,5850
assignee,2,710
assignee,3,220
assignee,4,84
component,1,1512
component,2,52
component,3,3
hardware,1,94
os,1,176
os,2,2
priority,1,294
priority,2,27
priority,3,6
product,1,1283
product,2,3
product,3,1
resolution,1,9036
resolution,2,73
resolution,3,282
resolution,4,33
severity,1,511
severity,2,30
severity,3,2
status,1,8148
status,2,905
status,3,272
status,4,109
version,1,504
version,2,11
version,3,2

tools-pdt
Total,5440
field,recount,count
assignee,1,1190
assignee,2,174
assignee,3,32
assignee,4,27
component,1,526
component,2,70
component,3,4
component,4,2
hardware,1,83
os,1,177
os,2,5
priority,1,763
priority,2,71
priority,3,2
priority,4,4
product,1,158
product,2,11
product,3,3
product,4,1
resolution,1,4233
resolution,2,109
resolution,3,429
resolution,4,98
severity,1,427
severity,2,37
severity,3,8
severity,4,1
status,1,342
status,2,3631
status,3,324
status,4,615
version,1,554
version,2,54
version,3,6
version,4,1

webtools-wtpincubator
Total,0

technology-nebula
Total,1118
field,recount,count
assignee,1,248
assignee,2,28
assignee,3,1
component,1,33
component,2,5
component,3,1
hardware,1,16
os,1,32
priority,1,72
priority,2,5
product,1,21
product,2,2
resolution,1,705
resolution,2,11
resolution,3,19
resolution,4,3
severity,1,43
severity,2,1
severity,3,1
severity,4,1
status,1,576
status,2,139
status,3,35
status,4,8
version,1,33
version,2,9
version,3,2

foundation-drupal
Total,0

technology-ease
Total,454
field,recount,count
assignee,1,27
assignee,2,1
assignee,3,1
component,1,30
component,2,29
hardware,1,57
os,1,60
priority,1,3
product,1,50
resolution,1,344
resolution,2,4
resolution,3,11
resolution,4,2
severity,1,25
status,1,278
status,2,73
status,3,8
status,4,6
version,1,58
version,2,2

technology-tigerstripe
Total,1147
field,recount,count
assignee,1,194
assignee,2,22
assignee,3,1
assignee,4,1
component,1,13
component,2,1
os,1,1
priority,1,21
priority,2,2
product,1,1
product,2,1
resolution,1,1057
resolution,2,1
resolution,3,39
resolution,4,8
severity,1,98
severity,2,4
severity,3,1
status,1,701
status,2,330
status,3,42
status,4,37
version,1,6

modeling-emfstore
Total,528
field,recount,count
assignee,1,192
assignee,2,17
assignee,3,1
assignee,4,2
component,1,16
component,2,1
component,4,1
hardware,1,8
os,1,46
priority,1,62
priority,2,5
priority,3,1
product,1,6
product,2,1
resolution,1,465
resolution,2,3
resolution,3,9
resolution,4,1
severity,1,16
severity,2,1
status,1,399
status,2,71
status,3,14
status,4,3
version,1,14
version,2,1

rt-riena
Total,998
field,recount,count
assignee,1,343
assignee,2,27
assignee,3,4
component,1,66
component,2,2
component,3,1
hardware,1,32
os,1,39
os,2,1
priority,1,90
priority,2,7
product,1,6
resolution,1,813
resolution,2,7
resolution,3,24
resolution,4,3
severity,1,49
severity,2,2
status,1,502
status,2,296
status,3,29
status,4,34
version,1,17

technology-flux
Total,61
field,recount,count
assignee,1,32
component,1,1
hardware,1,2
os,1,2
priority,1,2
resolution,1,27
severity,1,2
status,1,18
status,2,13

science-texlipse
Total,0

rt-yasson
Total,0

modeling-pmf
Total,31
field,recount,count
assignee,1,7
assignee,2,3
assignee,3,1
component,1,8
component,2,1
resolution,1,4
status,1,4

webtools-dalijpatools
Total,0

iot-risev2g
Total,1

technology-technologytoplevel
Total,0

tools-andmore
Total,114
field,recount,count
assignee,1,38
assignee,2,3
component,1,9
component,2,1
priority,1,1
product,1,8
product,2,1
resolution,1,56
resolution,2,1
resolution,3,1
status,1,35
status,2,29
status,3,4
status,4,1
version,1,11

modeling-franca
Total,0

soa-jwt
Total,408
field,recount,count
assignee,1,67
assignee,2,10
component,1,36
component,2,2
hardware,1,6
os,1,23
priority,1,31
priority,2,7
product,1,1
resolution,1,330
resolution,2,2
resolution,3,6
resolution,4,1
severity,1,14
severity,2,1
status,1,210
status,2,107
status,3,14
status,4,17
version,1,85
version,2,71
version,3,17
version,4,11

tools-mat
Total,461
field,recount,count
assignee,1,198
assignee,2,7
component,1,8
hardware,1,17
hardware,2,1
os,1,17
os,2,1
priority,1,1
product,1,4
resolution,1,376
resolution,2,1
resolution,3,12
severity,1,11
status,1,209
status,2,180
status,3,8
status,4,13
version,1,16

modeling-papyrus
Total,9634
field,recount,count
assignee,1,3272
assignee,2,298
assignee,3,46
assignee,4,6
component,1,763
component,2,41
hardware,1,1193
hardware,2,3
hardware,3,1
os,1,1169
os,2,6
os,3,1
priority,1,260
priority,2,11
product,1,37
product,2,3
resolution,1,6777
resolution,2,85
resolution,3,220
resolution,4,29
severity,1,798
severity,2,39
severity,3,5
severity,4,1
status,1,4925
status,2,3057
status,3,265
status,4,170
version,1,1355
version,2,100
version,3,14
version,4,2

modeling-mdt.xsd
Total,404
field,recount,count
assignee,1,29
assignee,2,8
assignee,3,1
component,1,40
component,2,5
component,3,1
os,1,1
priority,1,16
priority,2,1
product,1,41
product,2,4
resolution,1,354
resolution,3,26
resolution,4,2
severity,1,46
status,1,86
status,2,87
status,3,183
status,4,27
version,1,42
version,2,3

rt-eclipselink
Total,7952
field,recount,count
assignee,1,3629
assignee,2,270
assignee,3,74
assignee,4,22
component,1,186
component,2,17
hardware,1,167
os,1,172
priority,1,1628
priority,2,104
priority,3,29
product,1,10
product,2,6
resolution,1,5464
resolution,2,85
resolution,3,252
resolution,4,25
severity,1,596
severity,2,38
severity,3,13
status,1,2996
status,2,2455
status,3,228
status,4,265
version,1,588
version,2,42
version,3,1

technology-xwt
Total,352
field,recount,count
assignee,1,76
assignee,2,5
assignee,3,1
component,1,264
component,2,31
component,3,2
os,1,4
priority,1,1
product,1,295
product,2,1
product,3,1
resolution,1,269
resolution,2,1
resolution,3,8
severity,1,3
status,1,267
status,2,3
status,3,8
version,1,131
version,2,11

modeling-viatra
Total,1037
field,recount,count
assignee,1,483
assignee,2,58
assignee,3,10
assignee,4,5
component,1,42
component,2,1
hardware,1,8
os,1,11
priority,1,18
product,1,28
resolution,1,861
resolution,2,5
resolution,3,46
resolution,4,7
severity,1,38
severity,2,4
status,1,547
status,2,285
status,3,70
status,4,27
version,1,134
version,2,45
version,3,18
version,4,16

tools-tracecompass.incubator
Total,0

modeling-emft.henshin
Total,90
field,recount,count
assignee,1,18
assignee,2,1
component,1,4
resolution,1,58
resolution,3,1
severity,1,3
status,1,42
status,2,19
status,3,1

modeling-eatop
Total,34
field,recount,count
assignee,1,10
assignee,2,1
component,1,1
hardware,1,1
os,1,1
resolution,1,18
status,1,11
status,2,7

webtools-wtpwebservices
Total,0

rt-smila
Total,216
field,recount,count
assignee,1,89
assignee,2,16
assignee,3,3
assignee,4,2
component,1,7
component,2,1
hardware,1,11
os,1,14
priority,1,20
priority,2,2
priority,3,1
resolution,1,202
resolution,2,2
resolution,3,7
severity,1,40
severity,2,4
severity,3,1
status,1,13
status,2,72
status,3,111
status,4,15
version,1,16
version,2,1

modeling-emft.doc2model
Total,1
field,recount,count
resolution,1,1
status,1,1

modeling-efm
Total,23
field,recount,count
assignee,1,1
component,1,1
resolution,1,10
severity,1,1
status,1,10

webtools-javaeeconfig
Total,0

webtools-wtpservertools
Total,0

technology-subversive
Total,2591
field,recount,count
assignee,1,253
assignee,2,24
assignee,3,2
component,1,123
component,2,14
component,3,3
hardware,1,8
os,1,13
priority,1,36
priority,2,2
product,1,111
product,2,5
product,3,2
resolution,1,2347
resolution,2,20
resolution,3,78
resolution,4,6
severity,1,80
severity,2,6
severity,3,1
severity,4,1
status,1,2209
status,2,155
status,3,65
status,4,22
version,1,112
version,2,19
version,3,1

rt-gemini
Total,5
field,recount,count
os,1,1

webtools-wtpsourceediting
Total,0

technology-rcptt
Total,254
field,recount,count
assignee,1,40
assignee,2,6
assignee,3,3
assignee,4,2
component,1,5
os,1,7
priority,1,7
priority,2,1
product,1,2
resolution,1,114
resolution,2,2
resolution,3,4
resolution,4,1
severity,1,9
severity,2,1
status,1,99
status,2,28
status,3,2
status,4,4
version,1,7
version,2,1

modeling-mdt
Total,114
field,recount,count
assignee,1,28
assignee,2,9
assignee,3,4
assignee,4,1
component,1,9
component,2,1
component,4,2
priority,1,29
priority,2,1
product,1,2
product,2,1
product,3,1
product,4,1
resolution,1,92
resolution,3,9
severity,1,16
severity,2,5
status,1,3
status,2,47
status,3,18
status,4,33
version,1,5
version,2,2

soa-soaplatform
Total,0

rt-ebr
Total,6
field,recount,count
assignee,1,2
resolution,1,3
status,1,3
status,2,1

technology-vtp
Total,259
field,recount,count
assignee,1,71
assignee,2,3
component,1,4
hardware,1,6
os,1,6
priority,1,30
resolution,1,194
resolution,2,4
resolution,3,6
severity,1,8
status,1,133
status,2,51
status,3,21
status,4,6
version,1,2

rt-gyrex
Total,157
field,recount,count
assignee,1,102
assignee,2,5
assignee,3,2
component,1,3
hardware,1,24
hardware,3,1
os,1,23
os,2,1
os,3,1
priority,1,3
resolution,1,110
resolution,2,1
resolution,3,3
severity,1,19
status,1,74
status,2,60
status,3,2
status,4,1
version,1,14

modeling-amp
Total,171
field,recount,count
assignee,1,19
assignee,2,1
component,1,2
hardware,1,8
os,1,8
priority,1,14
priority,2,2
priority,3,1
priority,4,1
resolution,1,102
resolution,2,2
resolution,3,2
severity,1,12
severity,2,1
severity,4,1
status,1,67
status,2,50
status,3,4
status,4,2
version,1,16
version,2,1

modeling-papyrusrt
Total,0

webtools-wtpcommontools
Total,0

modeling-eef
Total,330
field,recount,count
assignee,1,41
component,1,229
component,2,29
hardware,1,14
os,1,13
priority,1,4
product,1,244
product,2,14
resolution,1,282
resolution,2,3
resolution,3,3
severity,1,18
severity,2,4
status,1,251
status,2,29
status,3,7
status,4,2
version,1,119
version,2,42
version,3,5

modeling-capra
Total,46
field,recount,count
assignee,1,16
component,1,7
hardware,1,1
os,1,5
resolution,1,9
resolution,3,1
severity,1,1
status,1,21
status,4,1

tools-titan
Total,183
field,recount,count
assignee,1,66
assignee,2,3
component,1,1
component,3,1
priority,1,1
product,2,1
resolution,1,158
resolution,3,6
severity,1,3
status,1,23
status,2,46
status,3,74
status,4,24
version,1,4

technology-sapphire
Total,1189
field,recount,count
assignee,1,939
assignee,2,38
assignee,3,9
assignee,4,3
component,1,75
hardware,1,183
hardware,2,1
hardware,3,1
os,1,179
os,2,1
os,3,1
priority,1,7
product,1,1
resolution,1,965
resolution,2,7
resolution,3,89
resolution,4,27
severity,1,112
severity,2,3
status,1,96
status,2,774
status,3,110
status,4,109
version,1,148
version,2,6
version,3,2

tools-gef
Total,2950
field,recount,count
assignee,1,1064
assignee,2,140
assignee,3,36
assignee,4,8
component,1,237
component,2,36
component,3,4
component,4,3
hardware,1,86
hardware,2,1
os,1,116
os,2,4
priority,1,191
priority,2,15
priority,3,2
product,1,78
product,2,9
product,4,3
resolution,1,2242
resolution,2,27
resolution,3,255
resolution,4,24
severity,1,214
severity,2,26
severity,3,1
status,1,1852
status,2,385
status,3,212
status,4,116
version,1,125
version,2,8
version,3,1
version,4,1

tools-oomph
Total,1438
field,recount,count
assignee,1,929
assignee,2,76
assignee,3,13
assignee,4,1
component,1,187
component,2,28
component,3,2
component,4,1
hardware,1,12
os,1,10
priority,1,8
priority,2,2
product,1,148
product,2,7
product,4,1
resolution,1,1185
resolution,2,11
resolution,3,66
resolution,4,9
severity,1,171
severity,2,6
status,1,940
status,2,246
status,3,55
status,4,39
version,1,396
version,2,102
version,3,27
version,4,102

rt-ecf
Total,1944
field,recount,count
assignee,1,595
assignee,2,45
assignee,3,10
component,1,85
component,2,10
component,3,2
hardware,1,81
os,1,75
os,2,2
os,3,1
priority,1,35
priority,2,1
product,1,30
product,2,9
product,3,1
resolution,1,1725
resolution,2,15
resolution,3,53
resolution,4,8
severity,1,150
severity,2,12
status,1,1408
status,2,289
status,3,77
status,4,34
version,1,141
version,2,18
version,3,1

technology-scanning
Total,0

technology-nebula.incubator
Total,1
field,recount,count
assignee,1,1
resolution,1,1
status,3,1

foundation-z_archived
Total,0

rt-gemini.dbaccess
Total,19
field,recount,count
assignee,1,3
resolution,1,14
resolution,3,1
status,1,10
status,2,4
status,3,1
version,2,1

science-dawnsci
Total,1

ecd-che
Total,22
field,recount,count
component,1,1
resolution,1,12
resolution,2,1
status,1,13
status,2,1

iot-kapua
Total,1
field,recount,count
assignee,1,1
resolution,1,1
status,1,1

iot-unide
Total,0

soa-ebpm
Total,2

tools-linuxtools
Total,0

eclipse-jdt
Total,54535
field,recount,count
assignee,1,23705
assignee,2,8096
assignee,3,2529
assignee,4,1355
component,1,10198
component,2,1747
component,3,316
component,4,114
hardware,1,2066
hardware,2,6
hardware,3,8
os,1,2511
os,2,22
os,3,9
priority,1,5446
priority,2,644
priority,3,81
priority,4,21
product,1,3180
product,2,359
product,3,48
product,4,23
resolution,1,39406
resolution,2,3483
resolution,3,4720
resolution,4,1123
severity,1,4810
severity,2,308
severity,3,41
severity,4,5
status,1,24476
status,2,14091
status,3,5454
